Frame,UTC_time,x1,y1,x2,y2,CLASS,predicted_depth,actual_depth
4208,2025-06-08 08:30:28.373391+00:00,620,229,730,306,car,7.607080197801777,8.69961
4208,2025-06-08 08:30:28.373391+00:00,1193,237,1279,301,car,12.617408902037377,6.583796
4208,2025-06-08 08:30:28.373391+00:00,560,210,623,272,truck,15.665810977711397,18.670204
4208,2025-06-08 08:30:28.373391+00:00,0,186,179,372,truck,5.991404215494792,4.0154743
4208,2025-06-08 08:30:28.373391+00:00,466,192,542,288,bus,12.631505629595589,13.095768
4208,2025-06-08 08:30:28.373391+00:00,393,220,485,303,truck,12.341109930300245,12.091376
4208,2025-06-08 08:30:28.373391+00:00,0,186,174,371,car,5.991404215494792,4.0154743
4208,2025-06-08 08:30:28.373391+00:00,465,192,542,288,truck,12.585561714920344,13.095768
4208,2025-06-08 08:30:28.373391+00:00,1115,247,1140,288,person,16.604137944240197,14.011726
4208,2025-06-08 08:30:28.373391+00:00,3,493,1251,710,car,0.8508815391390931,-inf
4208,2025-06-08 08:30:28.373391+00:00,559,208,622,273,car,17.471744312959558,20.08732
4209,2025-06-08 08:30:28.589934+00:00,706,206,997,365,car,5.62083225624234,3.55622
4209,2025-06-08 08:30:28.589934+00:00,85,208,156,385,person,5.975304697074142,5.2601748
4209,2025-06-08 08:30:28.589934+00:00,615,226,722,306,car,7.627686743642769,9.057156
4209,2025-06-08 08:30:28.589934+00:00,1236,237,1279,303,car,12.793042949601716,11.358229
4209,2025-06-08 08:30:28.589934+00:00,434,186,538,287,bus,11.632220099954043,12.039761
4209,2025-06-08 08:30:28.589934+00:00,174,215,291,325,truck,10.355288038066789,9.959953
4209,2025-06-08 08:30:28.589934+00:00,0,185,65,386,car,5.8801598642386645,4.9379096
4209,2025-06-08 08:30:28.589934+00:00,558,206,620,272,car,13.440767176011029,18.646936
4209,2025-06-08 08:30:28.589934+00:00,369,211,476,307,truck,11.580316281786152,11.756178
4209,2025-06-08 08:30:28.589934+00:00,559,206,620,272,truck,13.440767176011029,18.646936
4210,2025-06-08 08:30:28.806977+00:00,701,205,988,363,car,5.705689673330269,3.6453767
